terrain_environmental_factors,material_labour_costs,regulatory_permitting_timeline,historical_delay_patterns,weather_seasonal_data,vendor_performance_structured,vendor_performance_semi_structured,vendor_performance_non_structured,material_cost_escalation_reason,cost_escalation_percentage,demand_supply_scenario,supply_delay_days,skilled_manpower_availability,equipment_availability,project_complexity,transmission_voltage_level,line_length_km,environmental_clearance_status,land_acquisition_percentage,time_overrun_percentage,cost_overrun_percentage,project_hotspots
Urban,71.86508023202879,510,21.55934590286511,Winter,1.0,"{""delivery_time"": 2.13, ""quality"": 2.14, ""communication"": 2.93, ""technical_expertise"": 3.88}",Excellent performance with timely delivery,Low,1.05,Balanced,11.826430679456832,0.9274372027313501,0.5348538732344805,Medium,132kV,147.49553458666253,Obtained,89.38483441244625,20.07408733690867,17.551022994368154,Vendor_Risk|Resource_Risk
Rural,31.22690863714334,180,28.699130086749904,Winter,2.4000000000000012,"{""delivery_time"": 2.44, ""quality"": 3.44, ""communication"": 2.53, ""technical_expertise"": 2.22}",Excellent performance with timely delivery,High,1.3,Surplus,2.9100167721430807,0.6427098418690791,0.9299257359578316,Medium,765kV,114.65677138739852,Pending,60.79194920472629,18.769200788390123,27.680616398602226,Cost_Critical|Vendor_Risk|Land_Acquisition_Risk
Urban,93.15340977942856,150,0.0,Spring,4.100000000000003,"{""delivery_time"": 1.1, ""quality"": 1.02, ""communication"": 1.91, ""technical_expertise"": 2.63}",Excellent performance with timely delivery,Medium,1.15,Surplus,0.9922076426542767,0.5749083150066121,0.8889060717219587,Medium,765kV,93.08875089797107,Obtained,87.49661332075412,2.4656070406672166,7.617055992076735,Resource_Risk
Mountainous,73.1515984861672,240,28.411893394230777,Post_Monsoon,1.8000000000000007,"{""delivery_time"": 4.41, ""quality"": 4.19, ""communication"": 2.07, ""technical_expertise"": 1.98}",Average performance with communication issues,Medium,1.15,Surplus,0.0,0.5406434466449554,0.6226149791158394,Very_High,132kV,26.92231392695804,Pending,78.02216192395707,18.67019290787293,24.98789542043213,Environmental_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Urban,86.7872687159685,60,27.61398255414658,Spring,2.4000000000000012,"{""delivery_time"": 1.91, ""quality"": 2.36, ""communication"": 2.99, ""technical_expertise"": 2.75}",Poor quality control and frequent delays,High,1.3,Surplus,0.0,0.7195089218539121,0.8840162271270412,High,400kV,35.1762700660419,Under_Review,80.9635987021783,14.685853815003226,16.155778860133243,Vendor_Risk
Mountainous,82.71132029349835,480,18.8816975468286,Summer,3.7000000000000024,"{""delivery_time"": 1.87, ""quality"": 1.52, ""communication"": 1.05, ""technical_expertise"": 1.62}",Outstanding technical expertise and support,Critical,1.5,Critical_Shortage,32.97662440902906,0.4685490719548338,0.5063213007000092,Medium,132kV,85.15295880540383,Under_Review,82.46653347771917,16.385608000901854,19.7703848969503,Environmental_Risk|Supply_Chain_Risk|Resource_Risk
Rural,56.85129828730676,600,0.11108848282252382,Winter,3.300000000000002,"{""delivery_time"": 3.82, ""quality"": 1.97, ""communication"": 2.87, ""technical_expertise"": 3.37}",Good quality but delayed deliveries,Critical,1.5,Deficit,5.114434102727724,0.7295650048769491,0.6086232862404402,Low,132kV,67.66223806235192,Obtained,89.26878468433061,14.207767015267901,19.510596292134505,Supply_Chain_Risk|Resource_Risk
Forest,73.18313650435383,360,22.446300862220745,Spring,4.400000000000003,"{""delivery_time"": 4.55, ""quality"": 4.56, ""communication"": 3.98, ""technical_expertise"": 1.14}",Poor quality control and frequent delays,Medium,1.15,Deficit,9.453657067664164,0.40080018369447523,0.532568619335448,High,220kV,92.88162286789593,Pending,93.25331934433251,12.669604063714381,25.324741414139634,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Resource_Risk
Urban,73.73031692033764,180,24.551513682416644,Spring,3.100000000000002,"{""delivery_time"": 3.3, ""quality"": 4.15, ""communication"": 1.07, ""technical_expertise"": 3.2}",Average performance with communication issues,Medium,1.15,Surplus,0.0,0.5943097784475069,0.8901134583089474,Low,400kV,133.03294408277054,Under_Review,85.85043778528944,8.490154339233872,31.015064049744748,Cost_Critical|Resource_Risk
Rural,59.64084139801316,30,20.59325211603406,Summer,3.6000000000000023,"{""delivery_time"": 4.43, ""quality"": 2.9, ""communication"": 1.02, ""technical_expertise"": 1.04}",Average performance with communication issues,High,1.3,Deficit,14.471409876494514,0.5319605882983488,0.8779370755891935,Medium,132kV,115.27353720431866,Under_Review,82.55628883224006,3.8154614687119874,17.18856950310525,Supply_Chain_Risk|Resource_Risk
Urban,90.91847433758241,120,2.965906426810026,Winter,2.8000000000000016,"{""delivery_time"": 2.67, ""quality"": 1.62, ""communication"": 3.66, ""technical_expertise"": 3.84}",Excellent performance with timely delivery,Critical,1.5,Deficit,17.529051328218298,0.9827312739764692,0.9068180119009153,Medium,220kV,60.62998709808274,Pending,74.95077019250807,19.42321938659559,16.045672670539016,Supply_Chain_Risk|Land_Acquisition_Risk
Forest,66.18477193190256,510,44.13680808780299,Monsoon,2.100000000000001,"{""delivery_time"": 1.71, ""quality"": 4.55, ""communication"": 2.77, ""technical_expertise"": 1.57}",Poor quality control and frequent delays,Medium,1.15,Balanced,3.973537029743034,0.8363453917419874,0.5022408466627644,High,220kV,117.37352630770157,Obtained,65.51512876927791,17.935209000536865,34.359583036011024,Cost_Critical|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Desert,84.88907890935876,390,17.333661664667524,Winter,2.9000000000000017,"{""delivery_time"": 4.06, ""quality"": 4.16, ""communication"": 3.56, ""technical_expertise"": 4.41}",Excellent performance with timely delivery,Critical,1.5,Critical_Shortage,36.240203214479024,0.6097920282773426,0.750616363339204,Low,220kV,53.008343770581874,Under_Review,98.34310726579456,11.446157969705354,26.86977806360041,Cost_Critical|Supply_Chain_Risk
Rural,48.6539645856916,540,22.33354404492519,Monsoon,1.0,"{""delivery_time"": 3.95, ""quality"": 4.53, ""communication"": 2.74, ""technical_expertise"": 3.99}",Good quality but delayed deliveries,Medium,1.15,Surplus,0.0,0.45570705191837235,0.8524180987586683,Low,765kV,45.021591180544476,Under_Review,78.47369169301231,12.055964592193735,15.342902925097654,Vendor_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Mountainous,107.40263734761314,150,0.0,Spring,3.0000000000000018,"{""delivery_time"": 5.0, ""quality"": 3.9, ""communication"": 1.46, ""technical_expertise"": 3.07}",Excellent performance with timely delivery,High,1.3,Deficit,15.210066147767375,0.7100803568143744,0.5777005643695077,Medium,220kV,98.35729736957121,Under_Review,82.64848977989573,12.219036905803822,32.63002629736403,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Resource_Risk
Desert,55.79576165675533,90,44.138264184378485,Post_Monsoon,1.0,"{""delivery_time"": 3.35, ""quality"": 1.7, ""communication"": 4.85, ""technical_expertise"": 1.7}",Good quality but delayed deliveries,Critical,1.5,Deficit,17.25486405375854,0.5280687287956254,0.8248953637563123,Medium,220kV,56.492409270115374,Obtained,90.04292557745669,9.255824170546877,45.380709926468995,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk
Mountainous,115.52115974049336,330,19.401400819191327,Spring,1.9000000000000008,"{""delivery_time"": 1.71, ""quality"": 4.66, ""communication"": 2.86, ""technical_expertise"": 1.25}",Average performance with communication issues,Medium,1.15,Surplus,7.363151253315289,0.7218577275390147,0.5420550496548429,Medium,765kV,62.53539760321425,Under_Review,62.73641939919317,13.276449308029177,22.949907031346807,Environmental_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,49.39763074033485,390,26.18155380489043,Post_Monsoon,4.100000000000003,"{""delivery_time"": 3.39, ""quality"": 3.41, ""communication"": 1.26, ""technical_expertise"": 4.89}",Excellent performance with timely delivery,Medium,1.15,Balanced,2.426785959493935,0.9012174125073354,0.5906629280521566,Medium,765kV,119.78902224264174,Pending,94.20044036014926,14.71386870274446,4.617934305873791,Resource_Risk
Urban,37.099885508698065,120,38.448849337799814,Monsoon,4.800000000000003,"{""delivery_time"": 3.18, ""quality"": 3.24, ""communication"": 3.08, ""technical_expertise"": 3.44}",Excellent performance with timely delivery,Medium,1.15,Surplus,0.7209099575446456,0.7694755312608312,0.7378984074973005,Medium,220kV,108.01717918526916,Obtained,91.8810297336963,12.422031536707632,21.813275146939233,Weather_Risk
Urban,67.4980360907604,420,16.88434954340049,Post_Monsoon,3.100000000000002,"{""delivery_time"": 2.06, ""quality"": 2.15, ""communication"": 3.05, ""technical_expertise"": 4.23}",Outstanding technical expertise and support,Medium,1.15,Balanced,9.34563768609097,0.7802730517270013,0.826782576340551,Low,132kV,71.98680117258321,Under_Review,90.97714327639365,5.039305763855152,33.851892926486066,Cost_Critical
Forest,49.73028142234598,660,36.55893984863853,Spring,2.7000000000000015,"{""delivery_time"": 1.2, ""quality"": 3.41, ""communication"": 4.23, ""technical_expertise"": 1.63}",Average performance with communication issues,High,1.3,Deficit,7.802031960848915,0.7246181734376869,0.572934563476948,Low,400kV,28.121536094874806,Pending,60.87930826937634,24.017862186889662,23.41672362368316,Environmental_Risk|Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
Forest,78.26206654353857,330,0.26409452870629835,Monsoon,4.100000000000003,"{""delivery_time"": 1.06, ""quality"": 2.25, ""communication"": 3.35, ""technical_expertise"": 1.55}",Outstanding technical expertise and support,Critical,1.5,Critical_Shortage,44.98913062513566,0.9563593795788455,0.592611665415469,High,765kV,59.26931914765616,Pending,81.06075405641657,15.702497890068361,26.5526912395713,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Resource_Risk|Weather_Risk
Mountainous,60.31596046569621,300,31.61183989085576,Spring,3.6000000000000023,"{""delivery_time"": 2.7, ""quality"": 3.21, ""communication"": 3.4, ""technical_expertise"": 2.1}",Good quality but delayed deliveries,Critical,1.5,Balanced,10.895153762959737,0.959141610652362,0.6022231835328316,High,400kV,152.972730355782,Obtained,62.17073482929747,19.952569015630832,29.68087905103915,Cost_Critical|Resource_Risk|Land_Acquisition_Risk
Rural,43.307248501778304,570,43.866905998235836,Spring,3.7000000000000024,"{""delivery_time"": 2.6, ""quality"": 4.11, ""communication"": 4.76, ""technical_expertise"": 4.45}",Good quality but delayed deliveries,Low,1.05,Balanced,0.0,0.7076339206441313,0.6193504023494892,Medium,765kV,118.82891452497947,Pending,82.03490315389165,21.49741711057333,15.401023632251256,Resource_Risk
Rural,21.656889035817034,540,18.034997833383642,Monsoon,2.7000000000000015,"{""delivery_time"": 3.26, ""quality"": 2.64, ""communication"": 2.33, ""technical_expertise"": 1.5}",Average performance with communication issues,Critical,1.5,Surplus,1.856909208017199,0.5834556922861027,0.6132769242631456,Low,220kV,134.82568328570974,Obtained,88.7379330502209,5.774234362984334,3.358625714940125,Resource_Risk|Weather_Risk
Coastal,51.85848625351662,180,38.426579443580785,Summer,4.800000000000003,"{""delivery_time"": 1.43, ""quality"": 3.75, ""communication"": 2.04, ""technical_expertise"": 2.02}",Good quality but delayed deliveries,Low,1.05,Deficit,12.177732830679421,0.6757522035276664,0.6975745542488183,Low,765kV,93.96086607156562,Obtained,64.87401001033692,15.559851822335874,12.663404408612072,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
Forest,17.052262625707062,450,47.0070718263254,Monsoon,3.8000000000000025,"{""delivery_time"": 4.99, ""quality"": 1.75, ""communication"": 1.59, ""technical_expertise"": 1.39}",Average performance with communication issues,Medium,1.15,Critical_Shortage,33.01325984040945,0.5119347473173694,0.8268948254183615,High,220kV,72.71331098847224,Obtained,87.79532421909154,26.445114822135807,22.884875296524196,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Forest,32.80182205964269,630,21.94189794335177,Spring,2.7000000000000015,"{""delivery_time"": 3.32, ""quality"": 3.51, ""communication"": 2.46, ""technical_expertise"": 3.14}",Good quality but delayed deliveries,High,1.3,Surplus,1.752507484110522,0.7818065891908537,0.7190158915672349,High,400kV,116.6817398580161,Pending,77.98131383941228,18.383102987581662,25.896633391362673,Cost_Critical|Environmental_Risk|Land_Acquisition_Risk
Coastal,73.68746381059735,300,20.94966056980167,Summer,1.7000000000000006,"{""delivery_time"": 4.15, ""quality"": 4.27, ""communication"": 4.83, ""technical_expertise"": 4.3}",Poor quality control and frequent delays,High,1.3,Surplus,5.251997679372194,0.7000554014693399,0.8879869543749441,Medium,132kV,129.8643660008353,Obtained,92.4621172271128,15.719145674521924,24.716864469647582,Vendor_Risk
Mountainous,92.68050356964372,150,14.220475050012354,Winter,4.000000000000003,"{""delivery_time"": 3.26, ""quality"": 1.72, ""communication"": 1.4, ""technical_expertise"": 1.22}",Excellent performance with timely delivery,Medium,1.15,Critical_Shortage,32.67063528913357,0.461980286687968,0.8596342529743074,High,220kV,68.20903366465532,Obtained,81.34355757521205,14.065796372323733,22.587359933426015,Supply_Chain_Risk|Resource_Risk
Urban,73.29642245480682,150,18.8832381377784,Monsoon,4.3000000000000025,"{""delivery_time"": 3.67, ""quality"": 4.23, ""communication"": 3.03, ""technical_expertise"": 1.22}",Poor quality control and frequent delays,Low,1.05,Deficit,12.737758971081965,0.5185886686717692,0.5632634570245378,High,400kV,60.03783189576882,Pending,73.44486143338595,18.673138048204848,0.0,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Urban,46.14396520898035,300,15.215681316728556,Monsoon,1.6000000000000005,"{""delivery_time"": 3.14, ""quality"": 4.74, ""communication"": 3.39, ""technical_expertise"": 4.24}",Average performance with communication issues,Medium,1.15,Critical_Shortage,36.860833811830545,0.6877791737197161,0.5244208116603719,Very_High,400kV,31.75591261126089,Obtained,73.27966253694834,18.05819182345277,19.520060830022814,Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Forest,61.60541207233788,150,14.210666818873273,Monsoon,4.5000000000000036,"{""delivery_time"": 4.2, ""quality"": 4.73, ""communication"": 4.08, ""technical_expertise"": 3.99}",Average performance with communication issues,High,1.3,Surplus,2.859781609862498,0.932553394431315,0.938970781999803,Low,765kV,59.15512479196477,Under_Review,95.89946080030336,0.9692262843069788,20.336110899298927,Environmental_Risk|Weather_Risk
Mountainous,74.91894287046222,90,39.38602356053627,Winter,2.7000000000000015,"{""delivery_time"": 1.94, ""quality"": 1.24, ""communication"": 3.07, ""technical_expertise"": 1.5}",Poor quality control and frequent delays,High,1.3,Surplus,0.0,0.7398344323786585,0.5399155332814367,Low,220kV,108.41216067203028,Pending,78.1148633834053,15.7788347628534,31.014247040564495,Cost_Critical|Environmental_Risk|Resource_Risk|Land_Acquisition_Risk
Urban,42.41188856074541,690,15.520887696540886,Summer,4.700000000000003,"{""delivery_time"": 4.85, ""quality"": 2.16, ""communication"": 4.41, ""technical_expertise"": 2.55}",Excellent performance with timely delivery,Critical,1.5,Balanced,13.618364508459774,0.8089210001250825,0.5741695903598565,Low,400kV,64.13086904092663,Pending,76.23015588705684,13.932438955906484,12.82079034967876,Resource_Risk|Land_Acquisition_Risk
Urban,94.31626688445944,180,28.102262976635476,Winter,1.8000000000000007,"{""delivery_time"": 2.29, ""quality"": 4.74, ""communication"": 2.45, ""technical_expertise"": 2.56}",Excellent performance with timely delivery,Low,1.05,Critical_Shortage,31.78342836420089,0.6034171298463459,0.511066637779059,High,132kV,117.61055178397972,Pending,61.594944891916626,20.876992983917653,15.349530879813482,Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Mountainous,94.7406515379526,120,25.458801222594854,Post_Monsoon,1.8000000000000007,"{""delivery_time"": 1.42, ""quality"": 3.68, ""communication"": 2.16, ""technical_expertise"": 3.34}",Outstanding technical expertise and support,Critical,1.5,Critical_Shortage,39.8233711984321,0.7428468358265405,0.8141681826493269,High,765kV,153.8511236981101,Under_Review,74.57298420461606,21.817524280638185,39.82713746490829,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Land_Acquisition_Risk
Urban,60.69119861032156,540,42.97713475085347,Winter,1.7000000000000006,"{""delivery_time"": 3.37, ""quality"": 3.88, ""communication"": 3.98, ""technical_expertise"": 3.06}",Good quality but delayed deliveries,High,1.3,Critical_Shortage,37.25852324945338,0.6684278935828405,0.7911852815791742,Medium,765kV,85.86871941186801,Obtained,93.98508219777699,16.252586851245983,24.213724463413477,Supply_Chain_Risk|Vendor_Risk
Urban,65.52427386039335,270,18.96212521533984,Monsoon,4.400000000000003,"{""delivery_time"": 2.32, ""quality"": 4.35, ""communication"": 2.24, ""technical_expertise"": 3.03}",Outstanding technical expertise and support,High,1.3,Surplus,3.031619610041436,0.7954779475738964,0.9934518332176279,Low,400kV,84.43055836816174,Pending,90.43950626130436,5.660047137614939,11.581335884215958,Weather_Risk
Rural,53.125742119213285,510,29.573776559851865,Monsoon,2.7000000000000015,"{""delivery_time"": 2.61, ""quality"": 4.42, ""communication"": 2.73, ""technical_expertise"": 2.54}",Excellent performance with timely delivery,Critical,1.5,Deficit,11.88024291879366,0.43034533964740623,0.943466198158586,Medium,220kV,104.20140344924127,Pending,68.836528111864,19.222475272693043,28.123403471634354,Cost_Critical|Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Mountainous,29.060965460453463,390,34.49283642731331,Winter,1.4000000000000004,"{""delivery_time"": 3.76, ""quality"": 3.41, ""communication"": 1.43, ""technical_expertise"": 3.03}",Poor quality control and frequent delays,Critical,1.5,Surplus,0.0,0.6959801297433754,0.7054215887404549,Medium,765kV,64.89591352882513,Pending,76.52226492854012,15.83696445689396,18.182492295000323,Environmental_Risk|Vendor_Risk|Land_Acquisition_Risk
Mountainous,69.43850889328658,450,42.87699528784698,Monsoon,2.300000000000001,"{""delivery_time"": 3.94, ""quality"": 4.97, ""communication"": 3.52, ""technical_expertise"": 2.48}",Good quality but delayed deliveries,High,1.3,Balanced,4.892992510454009,0.5775955750863802,0.6857929204562675,Medium,220kV,62.34377894744638,Under_Review,67.86318704326996,18.347656837311423,34.4131832385647,Cost_Critical|Environmental_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Urban,51.70130716404292,600,18.7869598594568,Spring,3.7000000000000024,"{""delivery_time"": 1.9, ""quality"": 4.49, ""communication"": 4.26, ""technical_expertise"": 1.94}",Poor quality control and frequent delays,Critical,1.5,Surplus,0.0,0.5957110367667455,0.6484260171399925,Medium,400kV,63.38723084193892,Under_Review,98.16867267338827,24.78940501158378,11.032831999925632,Resource_Risk
Coastal,41.970839821891516,510,17.585290375211436,Spring,3.9000000000000026,"{""delivery_time"": 1.8, ""quality"": 3.86, ""communication"": 2.26, ""technical_expertise"": 2.23}",Outstanding technical expertise and support,Critical,1.5,Surplus,0.0,0.9765504589348368,0.5762034600189407,Low,400kV,44.90478625978357,Under_Review,83.92471514142143,8.638216925702691,10.689580077361217,Resource_Risk
Urban,59.518544288723874,390,12.258627352479367,Winter,1.3000000000000003,"{""delivery_time"": 1.61, ""quality"": 2.06, ""communication"": 2.71, ""technical_expertise"": 3.93}",Average performance with communication issues,Low,1.05,Surplus,4.589715957810556,0.5096168876268297,0.5690418283010046,High,220kV,116.49253977670563,Obtained,90.17419170194195,6.001141788414794,10.21571014643018,Vendor_Risk|Resource_Risk
Rural,76.96529790274283,480,51.835595450178886,Summer,4.800000000000003,"{""delivery_time"": 2.35, ""quality"": 2.31, ""communication"": 2.14, ""technical_expertise"": 2.91}",Poor quality control and frequent delays,High,1.3,Balanced,4.742352809067797,0.5867471515471582,0.5661418540048027,Medium,132kV,67.6197016191029,Obtained,88.55234598707116,15.095467900827087,9.195812846341836,Resource_Risk
Coastal,71.53517150280618,660,41.61366925816465,Winter,2.9000000000000017,"{""delivery_time"": 1.72, ""quality"": 2.94, ""communication"": 3.82, ""technical_expertise"": 1.12}",Outstanding technical expertise and support,Medium,1.15,Critical_Shortage,30.95463669028774,0.705935545438523,0.5570573785933892,Medium,765kV,123.89854239009406,Under_Review,94.94757453560334,22.357753431412636,22.48150069190692,Supply_Chain_Risk|Resource_Risk
Mountainous,62.14847272988707,120,24.49358326825548,Monsoon,3.400000000000002,"{""delivery_time"": 1.04, ""quality"": 1.3, ""communication"": 3.14, ""technical_expertise"": 4.42}",Outstanding technical expertise and support,Low,1.05,Deficit,17.925356721920405,0.9178161688897742,0.6202560212027685,Low,400kV,103.52490472109017,Obtained,97.97311114181838,17.919636626358397,22.048057175507637,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Desert,82.02423840847932,150,48.177269813524674,Monsoon,3.7000000000000024,"{""delivery_time"": 1.02, ""quality"": 4.75, ""communication"": 1.43, ""technical_expertise"": 4.37}",Outstanding technical expertise and support,Medium,1.15,Deficit,18.05810000556355,0.6500020499238223,0.6533343151565583,High,132kV,84.20267793442203,Under_Review,61.29784695102898,21.60860888168607,21.451011177687377,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Mountainous,106.48549732318506,150,23.777639267612113,Spring,2.100000000000001,"{""delivery_time"": 2.93, ""quality"": 3.64, ""communication"": 3.04, ""technical_expertise"": 2.91}",Average performance with communication issues,Critical,1.5,Balanced,1.4182603043204982,0.8463191685329026,0.9807894855194579,Medium,132kV,113.33698973217558,Obtained,99.0120471959981,12.134761339062113,18.937069056627514,Vendor_Risk
Mountainous,95.8042578655373,270,33.69292565720235,Spring,1.1,"{""delivery_time"": 4.34, ""quality"": 4.02, ""communication"": 2.93, ""technical_expertise"": 1.45}",Average performance with communication issues,Critical,1.5,Critical_Shortage,41.16695966204691,0.9138244589288814,0.7892366255009429,Very_High,220kV,51.97884474569779,Obtained,94.82169852423519,16.61190325005631,21.572595138522477,Supply_Chain_Risk|Vendor_Risk
Urban,66.1627922134434,510,25.122062820672646,Post_Monsoon,2.300000000000001,"{""delivery_time"": 1.46, ""quality"": 4.21, ""communication"": 3.12, ""technical_expertise"": 2.93}",Average performance with communication issues,Medium,1.15,Critical_Shortage,46.21621981615177,0.5860098134931093,0.9937978872566404,Medium,220kV,57.685850280132115,Under_Review,75.31789634792385,21.104298175186017,26.58852466566429,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,40.295948334416394,390,29.773665421005653,Winter,3.100000000000002,"{""delivery_time"": 3.72, ""quality"": 4.44, ""communication"": 3.52, ""technical_expertise"": 4.05}",Good quality but delayed deliveries,Critical,1.5,Balanced,0.0,0.6356501101232259,0.6862334739128366,Very_High,220kV,109.97591209950588,Pending,93.48276970228282,21.300184436714986,31.920522014165208,Cost_Critical|Resource_Risk
Rural,60.47334970420385,60,28.501137310402562,Winter,4.000000000000003,"{""delivery_time"": 4.06, ""quality"": 2.43, ""communication"": 2.1, ""technical_expertise"": 4.2}",Average performance with communication issues,Critical,1.5,Surplus,0.0,0.6139337342130138,0.7288133162947206,High,132kV,10.0,Pending,89.46231929323798,3.216198638370865,26.061373991663686,Cost_Critical
Urban,72.67296501572412,390,19.900175519480207,Monsoon,3.200000000000002,"{""delivery_time"": 2.51, ""quality"": 4.61, ""communication"": 1.28, ""technical_expertise"": 1.23}",Average performance with communication issues,Low,1.05,Critical_Shortage,36.68504900449495,0.8997134851707527,0.6622893295826395,Medium,765kV,85.5113913105134,Obtained,91.72457506758766,10.76066606587914,13.030887936403825,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Forest,79.28487287551998,660,38.10998245702423,Winter,2.9000000000000017,"{""delivery_time"": 4.71, ""quality"": 3.59, ""communication"": 2.52, ""technical_expertise"": 4.02}",Average performance with communication issues,Medium,1.15,Deficit,26.401301151494636,0.42660811717216074,0.5914438254482763,Very_High,220kV,105.66758115783475,Obtained,68.82764131356221,23.735754496674033,33.610089893094425,Cost_Critical|Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,59.52757702522954,630,33.59142901220682,Monsoon,4.700000000000003,"{""delivery_time"": 3.69, ""quality"": 3.12, ""communication"": 1.4, ""technical_expertise"": 4.25}",Poor quality control and frequent delays,Low,1.05,Balanced,1.3311135859631058,0.585052653297208,0.5715823538887896,Medium,765kV,130.88089543410436,Obtained,85.94254807742661,15.237948128780978,3.936166467345905,Resource_Risk|Weather_Risk
Forest,82.17911341223754,690,37.33233512201774,Monsoon,1.3000000000000003,"{""delivery_time"": 4.46, ""quality"": 1.69, ""communication"": 4.4, ""technical_expertise"": 4.51}",Average performance with communication issues,Medium,1.15,Deficit,10.302077557026259,0.8076451345570779,0.972539598903916,Medium,220kV,138.04178829906638,Obtained,61.03703577197163,12.90097400063284,26.912274683245947,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Land_Acquisition_Risk|Weather_Risk
Mountainous,62.957207739887224,570,28.842726225992152,Spring,2.4000000000000012,"{""delivery_time"": 3.2, ""quality"": 3.62, ""communication"": 2.53, ""technical_expertise"": 2.13}",Good quality but delayed deliveries,Low,1.05,Surplus,0.0,0.7392660997392055,0.9934053408993779,Low,132kV,80.43998127506292,Obtained,93.92916530211394,12.311066280574313,13.421536761166628,Vendor_Risk
Coastal,83.71309318141785,90,14.12116141867439,Monsoon,3.300000000000002,"{""delivery_time"": 3.89, ""quality"": 4.45, ""communication"": 3.62, ""technical_expertise"": 3.05}",Outstanding technical expertise and support,High,1.3,Balanced,11.10711796695976,0.6617736155762166,0.5224547482543658,Medium,765kV,111.95932849690863,Obtained,98.04171889903157,12.804988267198365,13.439548743892598,Resource_Risk|Weather_Risk
Rural,52.96399407038599,300,45.51263279869243,Winter,3.400000000000002,"{""delivery_time"": 1.64, ""quality"": 1.21, ""communication"": 2.78, ""technical_expertise"": 1.2}",Poor quality control and frequent delays,High,1.3,Deficit,11.460843608830324,0.7239689363328305,0.5751729373658833,High,765kV,56.847744475876524,Under_Review,86.48493762541152,13.212526124903127,19.340642375310303,Supply_Chain_Risk|Resource_Risk
Mountainous,121.69336963406847,60,21.84932519719089,Post_Monsoon,1.0,"{""delivery_time"": 3.28, ""quality"": 2.53, ""communication"": 4.03, ""technical_expertise"": 2.22}",Excellent performance with timely delivery,Medium,1.15,Deficit,10.749328986411907,0.5185507514969909,0.7117620461505113,High,132kV,69.47797463436108,Pending,80.50678612704009,14.334484652033643,30.77311786018081,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Resource_Risk
Rural,39.66218272865648,390,29.368804342820976,Spring,1.6000000000000005,"{""delivery_time"": 3.37, ""quality"": 3.15, ""communication"": 1.02, ""technical_expertise"": 1.29}",Average performance with communication issues,High,1.3,Surplus,1.1548366434757698,0.6584299729648062,0.5931667381722037,Low,765kV,132.8681179777907,Pending,89.02924357452285,25.418716664856618,26.597346673335824,Cost_Critical|Vendor_Risk|Resource_Risk
Urban,98.85129416172238,570,32.62457630586723,Winter,4.000000000000003,"{""delivery_time"": 2.16, ""quality"": 4.53, ""communication"": 1.59, ""technical_expertise"": 3.84}",Outstanding technical expertise and support,Low,1.05,Balanced,6.541106557919902,0.7010217905058094,0.6819401968134416,Medium,132kV,83.60334909438316,Under_Review,73.05445152898469,15.470582358216431,4.700355092538443,Resource_Risk|Land_Acquisition_Risk
Coastal,63.56239410232766,510,29.289060594611424,Monsoon,2.100000000000001,"{""delivery_time"": 4.89, ""quality"": 4.16, ""communication"": 1.97, ""technical_expertise"": 4.63}",Outstanding technical expertise and support,Medium,1.15,Critical_Shortage,40.35510236056418,0.940713473172761,0.5645481749298167,Low,132kV,90.58872166407872,Under_Review,85.05551183250152,19.913959875674227,26.37353014208138,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Weather_Risk
